id,date,title,text,author,tags,comic
1,2003-01-01,Scott Kurtz,"
I got a lot of mail asking me to respond to Scott’s rant over at PvP. So I went over and read it this afternoon and I wasn’t really surprised. I am sure you are looking for me to do some kind of point counterpoint shit but that’s not going to happen. Instead of coming away from his rant upset I am mostly just disappointed. See we have had a sort of friendly rivalry with Scott for something like four years now.  We’ve chatted on the phone a few times and I met him in person once or twice. The thing that always stood out about Scott to me is just how much alike we are. You wouldn’t know it if you only read his comic strip but Scott is a son of a bitch just like me. We both enjoy saying things that piss people off. He cusses like a sailor and talks shit about everyone and their mother. And I think that is why we have always gotten along pretty well. What I never understood though is why we hardly ever see that side of Scott in his comic strips. I think that Kurtz is at his best when he is being satirical. His parodies of other webcomics are still some of the best work he has ever done. When Scott actually puts some of himself into his comics the stuff he comes up with is really special. I’m not saying I don’t like PvP, I think it’s generally a pretty good read. I enjoy the occasional fart joke just as much as the next guy, but It’s just that when I see a rant like this from Scott it reminds me what a fucking firebrand he really is. Sure I think everything he wrote is total bullshit but that doesn’t change the fact that I respect him for saying it. He knew it would piss people off, he said it anyway, and I’d bet dollars to doughnuts that son of a bitch cracks a little smile every time he gets another hate mail about it. Then I look at his comic strip and it just feels so watered down in comparison. I know you like to cuss Scott, I’ve heard you do it. Just write shit for God’s sake. I mean it’s not like we don’t know what S#!% is anyway. Just spell it the fuck out man. I know you have opinions. I’ve heard you say some stuff about Keenspot that is not only vicious as fuck but balls on accurate. Scott is probably the finest cartoonist in the medium of online cartoons right now. He can outdraw anyone else in the game. Many of you never saw the artwork he did on his other comic strip Wedlock but he had something fucking magical going on. All I’m saying is, why not put a little of that piss and vinegar you show in your rants and in real life into your comic strip. If he combined the razor sharp wit that I know he has with the raw artistic talent we’ve all seen the man would be unstoppable. Like Juggernaut, only he wouldn’t have a suit or anything. I mean he could get a suit but he wouldn’t really need it. It would just be like for show. 


-Gabe out

",Johnathan Gabriel,,https://www.penny-arcade.com/comic/2003/01/01/
2,2003-01-03,Exhilarating,"
We only know two people who don't live within a half an hour of us, and with Kiko's arrival a couple days ago they've both been here in the last three weeks.  We have decided to celebrate this event as we celebrate all other things, which is to say, play videogames.  We also play videogames when we are not celebrating.  I'm not really unhappy with the system, I'm just making a note of it.


The only issue with our recent explicit revelry is that it has brought the ire of the apartment complex down upon us.  Their crimes are many, though, and they're hardly in a tenable position regarding infractions.  There's the lady right next door, who I think might just be a really big badger with a shirt on.  There is a sound from B-14 that could only be a large animal chewing a freshly fallen birch, which I feel lends credence to my badger hypothesis.  If the bitch wants to chew on some wood or be a badger or whatever that's fine, I can handle it.  But directly above us - and I mean right above us, suspended there - unholy acts are committed on a regular basis, and you don't see us running to the manager.  This guy is either killing a woman or engaging in some penultimate act of tantric erotica, and I honestly don't care which, but I do wish they would use their indoor voices!    


The thing is, we do honestly try to lay down some rules about noise at the beginning of each event, but it never pans out, because capturing the flag is like fireworks in your heart.  The trouble in this venue started with Soccer Slam, where it's like my mind knew that I could not explode with sound but as soon as we'd land a Killer Kick or a one-timer I'd be off the couch wagging the wavebird at the television in a derisive way.  We were only playing against the computer then, too - when the Halo gets in there, it's Living Room versus Computer Room, that ancient and bitter rivalry born with the very firmament.


Also, hopefully you've seen it already:  the trailer for Quentin Tarantino's (Spell checker suggestion:  ""Tarantula's"") newest movie is now awailable.  I didn't know what to think at first, but the second time I watched it I felt joy.  I've always really liked his dialogue, that's why I see his movies, and there isn't a whole lot of that to judge here.


(CW)TB out.


out of the darkness into the light
",Tycho Brahe,,https://www.penny-arcade.com/comic/2003/01/03/
3,2003-01-04,WOO!,"
I talked to the lady from Entertainment Weekly again and this time I didn’t hang up on her. She says the article on PA should appear in the issue that hits stands next Friday. That’s one week from today. I don’t know how robust it will be but some people asked about it so I thought I would share the info I had. 


Kiko, Monkey, Tycho and I just spent about three hours playing Guilty Gear XX. Some really weird shit gets said during these matches that you just don’t hear in other fighters. Stuff like, “Fuck your teddy bear!” or “No not the swimming!” It has the strangest bunch of characters I’ve seen in a fighter since Jo Jo’s Bizarre adventure. I think this is the game that will get Tycho back into fighters. When I saw him bring up Gamefaqs to find some combos I had to choke back some tears.


-Gabe out

",Johnathan Gabriel,,https://www.penny-arcade.com/comic/2003/01/04/
4,2003-01-06,Penny Arcade is A Comedy Bistro,"
Over at Gabe's yesterday, I mentioned that Guilty Gear XX was one of the most complete, satisfying experiences in any genre.  Thinking back on it, that may have been hyperbole.  I was drunk with victory at the time I said it, so that might be connected.    


As posted yesterday, the last fighting game I took at all seriously was Tekken 3, and I could break a man with Jin Kazama using very little effort.  After thinking about why that might have been the case, it became fairly obvious why.  There's more than one reason, but here's the first of the two: I had a condition that I call ""Fighter Fatigue.""  We played every fighter the day it came out in arcade or otherwise, and we played them like we meant it.  Eventually all fighters seemed perfectly alike.  Being no stranger to the genre, I knew that on some level they probably did different things, but I didn't really care to find out.  The primary author of my new apathy was Capcom, and though I have almost limitless respect for the venerable development house, motherfuckers know how to work a franchise.                  


Virtua Fighter 4 was almost enough to bust me out of it.  What could accurately be called a martial arts simulator, the VF series is one I never really got into because it was like a dollar a play.  It costs less to play longer in Vegas.  I felt the old motions and savvy returning.  Mortal Kombat V is also pretty fun, but I was primed by VF4, so it hit twice as hard.  I was now in scoring position for the next excellent fighter, and lo and behold, what should come along but Guilty Gear double X.   


Jesus Christ.


I wouldn't even touch the controller to begin with, that's how much I wasn't going to play.  The game that brought me back into the fray needed to disarm the numbness I felt about fighters in general - and the way it did it was with unbelievable, original character designs.  Gabe had gotten into the first one pretty seriously, and while I could appreciate it then I wasn't ready for the genre yet.  Now I'm completely psychotic about it.  Looking around the web, you can see that the gameplay of Guilty Gear is a matter of some contention.  I'm completely mystified by this.  We're talking about a fighter that is as deep as you want it to be, and I guarantee there is a character in that massive roster that is perfect for every player.  Eighty percent of all fights over here end as virtual ties, with devastating upsets practically every other round.  You get out of it what you put into it, I guess.  


What I get out of it is victory.  Utilizing Eddie's rich arsenal to the fullest, I was able to claim victory over Gabe favorite Chipp Zanuff.  Of course he can't just admit that, he has to blame sunspots or some shit.  The excuses are easy to categorize.      


Probably True:  ""I have a blister on my thumb.""


Unlikely:  ""I spilled Sprite on my controller a few days ago, and now the x button sticks.""


Highly Specious:  ""My alien physiology makes it difficult to grasp human controllers.""


(CW)TB out.


i bet i could improve it, too
",Tycho Brahe,,https://www.penny-arcade.com/comic/2003/01/06/
5,2003-01-08,Minus The Pope And A Rabbi,"
I thought that I had uploaded the comic, but I also thought I was a ninja for a time, which culminated in a grievous leg injury.  The strip is up now, for reals this time.


And yes, I am aware that the lighting solution on the new Gameboy Advance SP is technically a frontlight, not unlike Triton Labs' Afterburner product.  I am very curious to see how Nintendo's solution compares to the unofficial add-in.  Very curious indeed.     


Dropping here on March 23rd, this new Gameboy will arrive just shy of two years after its predecessor.  I want to be angry about that, but I can't, because it's platinum.  Have you seen it?  I just want to snatch it up in my talons and try to incorporate it into my nest somehow.  I guess I'd be angrier if it made deeper changes to the system, necessitating an upgrade for all portable gamers - but the fact is that no upgrade is really required, especially if you've gone to the trouble if installing a lighting system or tacked on one of those FloodLights.  I would call myself very interested in it, because I like to adopt things, and when I adopt them I like to adopt them early.  The rechargeable battery pack is something we should have seen a long time ago.  If I get my hands on it, though, and it doesn't measure up?  I don't feel like Nintendo has me between a rock and a hard place.  In fact, I feel like they're the ones that are kind of tense.  Cell phones and cell manufacturers are trying to eat their lunch with simple, portable games that ride on devices people already carry around with them.           


I appear to have gotten onto some new PR list at Microsoft, because Freelancer and Impossible Creatures showed up a few days ago completely uninvited but not necessarily unwelcome.  Let's talk about them in reverse alphabetical order.


Impossible Creatures does absolutely nothing for me.  I did not enjoy typing that sentence, because I have massive loyalty to Relic and I honestly love the central concept.  I'm sure you've heard of it, this is the one where you mix the animals up and I really like that part - I just don't like the game that is built up around it very much.  The demo they released would never install right on my system, so maybe this is all old news to other people.  As is my way, I will play it for a period of an hour and a half uninterrupted before I uninstall it.  If my feeling on the matter changes - and this forced period often does reveal value - then I will let you know.  


Freelancer is actually kind of weird.


You may recall that we saw the game a few years ago, two or three, Jesus, I don't remember, at an E3 showing.  Things were a bit different then, and it would be underestimating my reaction to say that I thought it was vile.  What had always been discussed as a sort of unofficial sequel to the Privateer franchise had become this Space Flight 101 mockery.  A space game without a flight yoke seemed to me like no space game at all.  I know many people have been playing them for years with mice, and had success, but that doesn't make a lick of difference to me.  You would literally click on a guy, your ship would follow him automatically, and then you would click on him until he had died.  Freelancer has been in the wings for a while, and I'd long assumed that it had been shelved or something - but I think the main issue is that developer Digital Anvil went through a period of very rough water.  What I'm playing here is apparently some kind of press beta, so maybe there are still some changes to be made - but the game that is on the CD, as it stands, right now, is actually pretty cool.  There's no flightstick option that I can see, but the Auto-Following stuff is gone, which goes a long way toward giving the game back to the player.  What didn't come across at that showing we saw at the E3 is that the game is actually a sort of RPG.  I know, I know.  But it's true.  You gain levels, levels give you access to finer technology, you take missions and gain experience.  With the controls being what they are, the playing of it actually feels like a Space Adventure instead of a Sim, which I was too angry/righteous/fancy to see before.  The cut scenes are ofttimes strange and stilted, and I don't particularly look forward to them.  On the other hand, the combat, missions, exploration, and variety could easily be designated as a Superfun site.  Oh yeah, and it also has full multiplayer in a dynamic galaxy, just like they always hoped.  I can't find anybody online to test it out with, though.    


The water has been off in my apartment the last couple days.  You have no idea how thirsty this makes a person!


(CW)TB out.


you're lucky to even know me
",Tycho Brahe,,https://www.penny-arcade.com/comic/2003/01/08/
6,2003-01-10,Jealousy,"
It's fine and everything, but there's all these people out there playing Master of Orion III, and none of them are named Tycho.  Or Jerry.


(CW)TB
",Tycho Brahe,,https://www.penny-arcade.com/comic/2003/01/10/
7,2003-01-11,Tao Feng,"
Tycho and I were invited out to see some new games over at Microsoft today. I live like fifteen minutes from them so it's not like they had to fly our asses out or anything. Tycho said we were going to see Brute Force and get a free lunch so I was super excited. When we got there they told us we were going to see Tao Feng and get a free lunch. I am not sure if Tycho knew this all along or not but I would not be surprised. Anyway the free lunch was still a reality so I decided to stick around. I am pretty glad I did too because Tao Feng ended up being pretty cool. I am getting ahead of myself though. Let me tell you what it's like when you go to one of these things.


You always read about people who get to go preview games but until today we had never actually done it. I don't really think of Tycho and I as journalists so that never really bothered me though. During lunch one of our hosts asked us how long we had been in the industry. Until that moment we actually had not realized that we were in the industry. In fact I still don't think we are. These PR types seem to think we are though, and if that means they show us early builds of their games then they are welcome to continue doing so. 


After our lunch they took us to a little meeting room with a fancy TV and a decent surround sound set up. While they were talking about something I was sort of scoping out the room and I noticed a large white board to my left. As I inspected it further I realized that it had on it the release dates by month for Xbox games.  Just as it registered that I was probably looking at something I shouldn't be I was interrupted. They leapt in front of the board and began erasing like mad. They even erased the little note that said in all capital letters ""DO NOT ERASE!"" Tycho and I found this part especially funny. Cameron who is like the head PR guy for Tao Feng quickly directed our attention to his game which he now had up and running on the television. 


So the game is set in present time in an alternate reality where I guess China colonized North America first. Or something. Cameron said they hired a professional writer to make the story. They said the same thing about Doom 3 and Tycho and I think it's fucking hilarious. Do they not understand that even if they hired someone who had never written anything before to write the story that the very act of hiring them would indeed make them a professional writer. I am sure this lady is a super good writer but it still cracks me up. Anyway, professional writers aside the game looks really good. And it damn well should, Craig Mullins is the man doing the concept artwork for the game. You are no doubt familiar with his work although you may not know it. He's done concept art and Matte Paintings for all kinds of movies and shit. The guy is fucking amazing and if you don't go check out his site then you're a bad person. 


Beyond the slick visuals the game actually plays really well too. John Tobias co-creator of Mortal Kombat no doubt has a lot to do with that. The game actually feels a lot like a Mortal Kombat game, although more brutal if that's possible. One of the really cool features of TF is that the characters take damge and it affects their performance. Break a guys arm or beat on it enough and eventually it's going to be all but useless. Fighters build up ""Chi"" which they can use to do special moves or heal broken limbs. As fights progress characters get bruised, cut and dirty. It's actually a really nice effect and  one that sort of makes TF stand out from other fighters. Another cool feature is the interactive environments. You can kick off walls, swing around poles and break all kinds of shit. One level had us fighting in an arcade and you could knock your opponent into the machines and they would bust apart. In fact knocking your opponent into a wall or box or whatever will actually increase the amount of damage they take. I like that.


They told us that we were supposed to play with this one character because he was the only one that had really been tuned. The other ones I guess were not quite done yet. Obviously we paid no attention to this and proceed to check out all the characters in the game and all the environments. I mean they bought us lunch so the way I see it they sort of owed us. All your basic fighting game characters are there. You've got bouncy chicks, old men, kung fu studs, the big slow guy and the weirdo. It could be that my standards for character design have been unfairly raised by Guilty Gear XX but none of these people really did anything special for me. I will say that Master Sage the old Chinese man was pretty slick but compared to other old Chinese guys like Shun from Virtua Fighter or my personal favorite Wang from Tekken he doesn't really bring anything new to the table. I will say that the character designs are some of the best I have seen from a 3D fighter that isn't Tekken, Virtua Fighter or Soul Calibur. In fact just a few weeks ago Tycho and I had a conversation where we wondered why anyone who isn't Namco or Sega even bothers making 3D fighters. I mean even Capcom, a company that knows how to make a goddamned fighting game hasn't been able to pull off a 3D fighter that is able to go toe to toe with Tekken or VF. The fact that the guys at Gigante are even trying to make a 3D brawler is admirable. The fact that they have succeeded in making one that doesn't suck ass is down right miraculous. 


What we saw of the game was pretty early I guess and a lot of the characters that we weren't supposed to play with but did anyway weren't quite done. Even with all that I still found the game to be enjoyable. I think it's got potential and I'm really curious to see what they end up with. 


Then they brought out Kung Fu Chaos which is one of the best games I have ever played. I'll let Tycho tell you about that one though. 


-Gabe out
",Johnathan Gabriel,,https://www.penny-arcade.com/comic/2003/01/11/
8,2003-01-13,I Forgot,"
My man Pork mentioned this Star Wars fan-film that I thought you might like.  I'm not saying you'll agree with one hundred percent of the presentation, but I'd be hard pressed to find fault with the saber fight. 


(CW)TB
",Tycho Brahe,,https://www.penny-arcade.com/comic/2003/01/13/
9,2003-01-14,isketch,"
I just jumped into the Penny Arcade isketch room a minute ago to say hi and no one believed it was me. When it was my turn to draw I pulled out my Wacom and did a quick sketch of Gabe.  The same thing happens when I play MechAssault. People never seem to believe I am who I say I am. I guess there are people out there who pretend to be me or whatever. That seems pretty crazy. It seems to me like if you are going to pretend to be someone your not there are better people you can pick than me. 


-Gabe out

",Johnathan Gabriel,,https://www.penny-arcade.com/comic/2003/01/14/
10,2003-01-15,Chronicle Of Cardboard Tube Samurai,"
This newspost delay was brought to you by AT&T's sterling Cable Internet service.


We were not especially struck by any of the news out there, at least, not in a comic way, so we took advantage of that fact and decided to do whatever we wanted.  Technically we do whatever we want whether or not we have an excuse to, but it rarely reaches this threshold of elaboration when we're just messing around.  Also, apparently the Japanese stuff at the top actually says what it is supposed to - so obviously, we had nothing to do with it.  The strange characters that make up Japanese fill me with a vague unease.  No, that's all Kiko, who apparently has some faculty with it.  And he's not Japanese, either, that's the thing.  In fact, if there is a name less Japanese than Francisco Villasenor I would be surprised to see it.


One piece of news did have a certain flavor, but at this point we were already done with the comic so it didn't have a chance to germinate.  Courtesy of The Magicbox (compulsory daily reading) we have shots of the console specific characters for each version of Soul Calibur II.  If you didn't already know, just go look and be overcome with emotion.  By all available information, it sounds like we're in for the same luxurious treatment Namco has always given home conversions of this series.  Soul Calibur for the DC remains a top contender in virtually every scoreable category, even categories you make up on the spot, like ""Best, uh... Spelunking.""  The only thing you could fault it for, really, was that it did not include the exhilarating weapon collection of its prior iteration - and it's back for Soul Calibur II.  Come to think of it, I've never even seen Soul Calibur II at a Seattle arcade, or anywhere else for that matter, so it seems likely that my first experience will be with the lavish home version on the console of my choice.    


I started using ICQ again for some reason, I hadn't used it in maybe two years, and all these people I used to talk to apparently never pruned me from their lists.  It's like opening a time capsule every time I connect to it, I don't know who half these people are, and I don't have the logs from back then but apparently I logged off in the middle of a conversation.  I was talking to Soup last night, I guess he's made a dark pact with continuity of all things.  People change, you know?  I had a friend back in the day named Brad who ran a humor site called Lowpass.net, he was written up in Wired for promoting it via spoofed Eminem tracks.  It turns out he's still alive, and when he's not maintaining his sites Strip Creator or In4mador he puts out some really catchy songs.  You see, he's kind of a renaissance dork.   


I wanted to thank Nexon for sponsoring Penny Arcade this month, they just moved from the front page to the strip page.  Shattered Galaxy 1.5 has a really interesting take on Real-Time Strategy, and it's been doing things since version 1.0 that other games in the genre would do well to learn from.  It has a free trial, and it only costs ten bucks to upgrade the demo to retail status if you find yourself hooked.  Give it a try, see if it does it for you. 


(CW)TB out.


all twisted up in wires
",Tycho Brahe,,https://www.penny-arcade.com/comic/2003/01/15/
